,Weekday,hour_bin,private,std_private,not_private,std_not_private
0,0,0,215,23,0,0
1,0,1,205,19,0,0
2,0,2,144,44,71,124
3,0,3,145,8,0,0
4,0,4,164,19,0,0
5,0,5,160,27,31,54
6,0,6,149,13,199,346
7,0,7,157,8,187,92
8,0,8,174,4,182,14
9,0,9,182,4,183,11
10,0,10,181,5,183,7
11,0,11,179,10,179,8
12,0,12,177,3,179,14
13,0,13,181,6,169,6
14,0,14,191,6,175,12
15,0,15,186,5,169,7
16,0,16,194,10,172,9
17,0,17,192,8,165,24
18,0,18,205,16,270,75
19,0,19,215,13,244,120
20,0,20,217,4,221,41
21,0,21,216,13,230,96
22,0,22,211,12,321,116
23,0,23,208,6,239,139
24,1,0,193,16,43,87
25,1,1,204,18,0,0
26,1,2,167,30,11,23
27,1,3,167,42,0,0
28,1,4,170,20,0,0
29,1,5,161,31,0,0
30,1,6,167,9,14,29
31,1,7,169,14,237,193
32,1,8,180,11,200,35
33,1,9,176,12,186,19
34,1,10,187,9,187,10
35,1,11,187,16,183,21
36,1,12,188,10,179,11
37,1,13,195,8,175,17
38,1,14,199,13,175,16
39,1,15,208,18,194,18
40,1,16,206,18,189,12
41,1,17,201,10,180,13
42,1,18,205,18,321,64
43,1,19,202,7,390,127
44,1,20,207,8,267,60
45,1,21,210,7,282,180
46,1,22,206,10,253,162
47,1,23,196,7,264,145
48,2,0,236,43,11,15
49,2,1,199,35,0,0
50,2,2,187,17,89,179
51,2,3,176,65,0,0
52,2,4,212,85,0,0
53,2,5,144,20,0,0
54,2,6,143,7,0,0
55,2,7,155,8,353,267
56,2,8,179,10,192,39
57,2,9,181,9,183,9
58,2,10,194,11,190,15
59,2,11,188,10,186,19
60,2,12,181,9,178,15
61,2,13,191,6,167,17
62,2,14,191,7,170,25
63,2,15,199,14,177,25
64,2,16,203,15,173,18
65,2,17,195,5,181,22
66,2,18,202,15,304,83
67,2,19,205,15,379,143
68,2,20,205,7,275,85
69,2,21,208,9,264,103
70,2,22,206,15,242,327
71,2,23,202,10,214,145
72,3,0,200,35,108,95
73,3,1,184,21,0,0
74,3,2,179,33,28,56
75,3,3,163,27,0,0
76,3,4,134,34,0,0
77,3,5,167,36,0,0
78,3,6,152,16,89,135
79,3,7,157,14,96,10
80,3,8,175,11,193,31
81,3,9,177,9,179,15
82,3,10,181,5,179,8
83,3,11,176,9,178,8
84,3,12,175,6,161,8
85,3,13,178,8,169,7
86,3,14,183,4,176,16
87,3,15,183,10,164,10
88,3,16,195,6,174,8
89,3,17,194,9,181,13
90,3,18,208,4,231,70
91,3,19,209,8,264,80
92,3,20,207,8,284,59
93,3,21,209,15,355,235
94,3,22,208,22,230,76
95,3,23,215,13,189,98
96,4,0,204,19,248,321
97,4,1,197,40,22,39
98,4,2,195,18,22,39
99,4,3,174,5,0,0
100,4,4,167,41,0,0
101,4,5,185,48,0,0
102,4,6,163,15,0,0
103,4,7,165,4,176,253
104,4,8,178,6,264,22
105,4,9,192,6,337,96
106,4,10,192,7,293,78
107,4,11,199,7,353,34
108,4,12,193,6,279,47
109,4,13,198,2,227,68
110,4,14,201,10,226,58
111,4,15,115,172,0,0
112,4,16,0,0,0,0
113,4,17,0,0,0,0
114,4,18,0,0,0,0
115,4,19,0,0,0,0
116,4,20,0,0,0,0
117,4,21,0,0,0,0
118,4,22,0,0,0,0
119,4,23,0,0,0,0
120,5,0,0,0,0,0
121,5,1,0,0,0,0
122,5,2,0,0,0,0
123,5,3,0,0,0,0
124,5,4,0,0,0,0
125,5,5,0,0,0,0
126,5,6,0,0,0,0
127,5,7,0,0,0,0
128,5,8,0,0,0,0
129,5,9,0,0,0,0
130,5,10,0,0,0,0
131,5,11,0,0,0,0
132,5,12,0,0,0,0
133,5,13,0,0,0,0
134,5,14,0,0,0,0
135,5,15,0,0,0,0
136,5,16,0,0,0,0
137,5,17,0,0,0,0
138,5,18,0,0,0,0
139,5,19,197,6,37,64
140,5,20,221,8,174,67
141,5,21,200,9,227,52
142,5,22,198,20,248,61
143,5,23,210,18,292,45
144,6,0,219,28,39,68
145,6,1,264,28,0,0
146,6,2,238,39,125,217
147,6,3,216,64,0,0
148,6,4,212,45,8,15
149,6,5,168,17,13,23
150,6,6,168,11,15,26
151,6,7,179,6,136,114
152,6,8,182,7,210,10
153,6,9,190,2,195,20
154,6,10,186,3,191,16
155,6,11,184,4,177,19
156,6,12,181,3,169,15
157,6,13,189,5,156,20
158,6,14,190,2,159,9
159,6,15,199,7,168,15
160,6,16,193,8,151,8
161,6,17,194,8,166,7
162,6,18,210,6,268,75
163,6,19,226,15,401,98
164,6,20,220,6,338,89
165,6,21,219,6,433,179
166,6,22,203,7,437,324
167,6,23,201,16,187,134
